地名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,缶・びん・ペットボトル,新聞紙,雑誌・ダンボール・紙パック 
助任橋,西部管理センター,火 金,20170426 20170524 20170621 20170719 20170816 20170913 20171011 20171108 20171206 20180110 20180207 20180307 *4,20170405 20170419 20170503 20170517 20170531 20170614 20170628 20170712 20170726 20170809 20170823 20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170410 20170424 20170508 20170522 20170605 20170619 20170703 20170717 20170731 20170814 20170828 20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 *2,20170420 20170518 20170615 20170713 20170810 20170907 20171005 20171102 20171130 20171228 20180125 20180222 20180322 *6,20170406 20170504 20170601 20170629 20170727 20170824 20170921 20171019 20171116 20171214 20180111 20180208 20180308 *6
助任本町,西部管理センター,火 金,20170426 20170524 20170621 20170719 20170816 20170913 20171011 20171108 20171206 20180110 20180207 20180307 *4,20170405 20170419 20170503 20170517 20170531 20170614 20170628 20170712 20170726 20170809 20170823 20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170410 20170424 20170508 20170522 20170605 20170619 20170703 20170717 20170731 20170814 20170828 20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 *2,20170420 20170518 20170615 20170713 20170810 20170907 20171005 20171102 20171130 20171228 20180125 20180222 20180322 *6,20170406 20170504 20170601 20170629 20170727 20170824 20170921 20171019 20171116 20171214 20180111 20180208 20180308 *6
住吉,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6
勢見町,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
鷹匠町,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
多家良町,東部管理センター,火 金,20170426 20170524 20170621 20170719 20170816 20170913 20171011 20171108 20171206 20180110 20180207 20180307 *4,20170405 20170419 20170503 20170517 20170531 20170614 20170628 20170712 20170726 20170809 20170823 20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170410 20170424 20170508 20170522 20170605 20170619 20170703 20170717 20170731 20170814 20170828 20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 *2,20170420 20170518 20170615 20170713 20170810 20170907 20171005 20171102 20171130 20171228 20180125 20180222 20180322 *6,20170406 20170504 20170601 20170629 20170727 20170824 20170921 20171019 20171116 20171214 20180111 20180208 20180308 *6
中央通,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
津田海岸町,東部管理センター,月 木,20170419 20170517 20170614 20170712 20170809 20170906 20171004 20171101 20171129 20171227 20180131 20180228 20180328 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170702 20170719 20170802 20170816 20170830 20170913 20170927 20171011 201710025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20171219 20180109 20180123 20180206 20180220 20180306 20180320 *2,20170414 20170512 20170609 20170707 20170804 20170901 20170929 20171027 20171124 20171222 20180119 20180216 20180316 *6,20170428 20170526 20170623 20170721 20170818 20170915 20171013 20171110 2017121808 20180105 20180202 20180302 20180330 *6
津田西町,東部管理センター,月 木,20170419 20170517 20170614 20170712 20170809 20170906 20171004 20171101 20171129 20171227 20180131 20180228 20180328 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170702 20170719 20170802 20170816 20170830 20170913 20170927 20171011 201710025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20171219 20180109 20180123 20180206 20180220 20180306 20180320 *2,20170414 20170512 20170609 20170707 20170804 20170901 20170929 20171027 20171124 20171222 20180119 20180216 20180316 *6,20170428 20170526 20170623 20170721 20170818 20170915 20171013 20171110 2017121808 20180105 20180202 20180302 20180330 *6
津田浜之町,東部管理センター,月 木,20170419 20170517 20170614 20170712 20170809 20170906 20171004 20171101 20171129 20171227 20180131 20180228 20180328 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170702 20170719 20170802 20170816 20170830 20170913 20170927 20171011 201710025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20171219 20180109 20180123 20180206 20180220 20180306 20180320 *2,20170414 20170512 20170609 20170707 20170804 20170901 20170929 20171027 20171124 20171222 20180119 20180216 20180316 *6,20170428 20170526 20170623 20170721 20170818 20170915 20171013 20171110 2017121808 20180105 20180202 20180302 20180330 *6
津田本町,東部管理センター,月 木,20170419 20170517 20170614 20170712 20170809 20170906 20171004 20171101 20171129 20171227 20180131 20180228 20180328 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170702 20170719 20170802 20170816 20170830 20170913 20170927 20171011 201710025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20171219 20180109 20180123 20180206 20180220 20180306 20180320 *2,20170414 20170512 20170609 20170707 20170804 20170901 20170929 20171027 20171124 20171222 20180119 20180216 20180316 *6,20170428 20170526 20170623 20170721 20170818 20170915 20171013 20171110 2017121808 20180105 20180202 20180302 20180330 *6
津田町,東部管理センター,月 木,20170419 20170517 20170614 20170712 20170809 20170906 20171004 20171101 20171129 20171227 20180131 20180228 20180328 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170702 20170719 20170802 20170816 20170830 20170913 20170927 20171011 201710025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20171219 20180109 20180123 20180206 20180220 20180306 20180320 *2,20170414 20170512 20170609 20170707 20170804 20170901 20170929 20171027 20171124 20171222 20180119 20180216 20180316 *6,20170428 20170526 20170623 20170721 20170818 20170915 20171013 20171110 2017121808 20180105 20180202 20180302 20180330 *6
出来島本町,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6
寺島本町東,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6
寺島本町西,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6
寺町,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
問屋町,東部管理センター,火 金,20170426 20170524 20170621 20170719 20170816 20170913 20171011 20171108 20171206 20180110 20180207 20180307 *4,20170405 20170419 20170503 20170517 20170531 20170614 20170628 20170712 20170726 20170809 20170823 20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170410 20170424 20170508 20170522 20170605 20170619 20170703 20170717 20170731 20170814 20170828 20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 *2,20170420 20170518 20170615 20170713 20170810 20170907 20171005 20171102 20171130 20171228 20180125 20180222 20180322 *6,20170406 20170504 20170601 20170629 20170727 20170824 20170921 20171019 20171116 20171214 20180111 20180208 20180308 *6
通町,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6
徳島町,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6
徳島本町,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6
富田浜,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
富田橋(JR岐阜線から西側),東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
富田橋(JR岐阜線から東側),東部管理センター,火 金,20170426 20170524 20170621 20170719 20170816 20170913 20171011 20171108 20171206 20180110 20180207 20180307 *4,20170405 20170419 20170503 20170517 20170531 20170614 20170628 20170712 20170726 20170809 20170823 20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170410 20170424 20170508 20170522 20170605 20170619 20170703 20170717 20170731 20170814 20170828 20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 *2,20170420 20170518 20170615 20170713 20170810 20170907 20171005 20171102 20171130 20171228 20180125 20180222 20180322 *6,20170406 20170504 20170601 20170629 20170727 20170824 20170921 20171019 20171116 20171214 20180111 20180208 20180308 *6
富田長,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
中島田町,西部管理センター,月 木,20170419 20170517 20170614 20170712 20170809 20170906 20171004 20171101 20171129 20171227 20180131 20180228 20180328 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170702 20170719 20170802 20170816 20170830 20170913 20170927 20171011 201710025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20171219 20180109 20180123 20180206 20180220 20180306 20180320 *2,20170414 20170512 20170609 20170707 20170804 20170901 20170929 20171027 20171124 20171222 20180119 20180216 20180316 *6,20170428 20170526 20170623 20170721 20170818 20170915 20171013 20171110 2017121808 20180105 20180202 20180302 20180330 *6
中昭和町,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
中常三島町,西部管理センター,火 金,20170426 20170524 20170621 20170719 20170816 20170913 20171011 20171108 20171206 20180110 20180207 20180307 *4,20170405 20170419 20170503 20170517 20170531 20170614 20170628 20170712 20170726 20170809 20170823 20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170410 20170424 20170508 20170522 20170605 20170619 20170703 20170717 20170731 20170814 20170828 20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 *2,20170420 20170518 20170615 20170713 20170810 20170907 20171005 20171102 20171130 20171228 20180125 20180222 20180322 *6,20170406 20170504 20170601 20170629 20170727 20170824 20170921 20171019 20171116 20171214 20180111 20180208 20180308 *6
中洲町,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6
中通町,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6
中徳島町,東部管理センター,月 木,20170405 20170503 20170531 20170628 20170726 20170823 20170920 20171018 20171115 20171213 20180117 20180214 20180314 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170802 20170816 20170830 20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 *2,20170421 20170519 20170616 20170714 20170811 20170908 20171006 20171103 20171201 20171229 20180126 20180223 20180323 *6,20170407 20170505 20170602 20170630 20170728 20170825 20170922 20171020 20171117 20171215 20180112 20180209 20180309 *6 
仲之町,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
中前川町,,西部管理センター,火 金,20170426 20170524 20170621 20170719 20170816 20170913 20171011 20171108 20171206 20180110 20180207 20180307 *4,20170405 20170419 20170503 20170517 20170531 20170614 20170628 20170712 20170726 20170809 20170823 20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170410 20170424 20170508 20170522 20170605 20170619 20170703 20170717 20170731 20170814 20170828 20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 *2,20170420 20170518 20170615 20170713 20170810 20170907 20171005 20171102 20171130 20171228 20180125 20180222 20180322 *6,20170406 20170504 20170601 20170629 20170727 20170824 20170921 20171019 20171116 20171214 20180111 20180208 20180308 *6 
中吉野町,西部管理センター,火 金,20170426 20170524 20170621 20170719 20170816 20170913 20171011 20171108 20171206 20180110 20180207 20180307 *4,20170405 20170419 20170503 20170517 20170531 20170614 20170628 20170712 20170726 20170809 20170823 20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170410 20170424 20170508 20170522 20170605 20170619 20170703 20170717 20170731 20170814 20170828 20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 *2,20170420 20170518 20170615 20170713 20170810 20170907 20171005 20171102 20171130 20171228 20180125 20180222 20180322 *6,20170406 20170504 20170601 20170629 20170727 20170824 20170921 20171019 20171116 20171214 20180111 20180208 20180308 *6 
二軒屋町,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
西新浜町,東部管理センター,月 木,20170419 20170517 20170614 20170712 20170809 20170906 20171004 20171101 20171129 20171227 20180131 20180228 20180328 *4,20170412 20170426 20170510 20170524 20170607 20170621 20170705 20170719 20170702 20170719 20170802 20170816 20170830 20170913 20170927 20171011 201710025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 *3,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20171219 20180109 20180123 20180206 20180220 20180306 20180320 *2,20170414 20170512 20170609 20170707 20170804 20170901 20170929 20171027 20171124 20171222 20180119 20180216 20180316 *6,20170428 20170526 20170623 20170721 20170818 20170915 20171013 20171110 2017121808 20180105 20180202 20180302 20180330 *6 
西新町,東部管理センター,火 金,20174012 20170510 20170607 20170705 20170802 20170830 20170927 20171025 20171122 20171220 20180124 20180221 20180321 *4,20160330 20160413 20160427 20160511 20160525 20160608 20160622 20160706 20160720 20160803 20160817 20160831 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 *3,20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 201707024 20170807 20170821 20170904 20170918 20171002 20171016 2017103020171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 *2,20170427 20170525 20170622 20170720 20170817 20170914 20171012 20171117 20171207 20180104 20180201 20180301 20180329 *6,20170413 20170511 20170608 20170706 20170803 20170831 20170928 20171026 20171123 20171221 20180118 20180215 20180315 *6
